1/01/2022,New Year's Day
1/01/2022,Emancipation Proclamation
1/01/2022,National Hangover Day
1/01/2022,International Public Domain Day
1/02/2022,National Science Fiction Day
1/02/2022,National Buffet Day
1/02/2022,World Introvert Day
1/03/2022,National Thank God It's Monday Day
1/03/2022,International Mind-Body Wellness Day
1/04/2022,World Braille Day
1/04/2022,National Trivia Day
1/04/2022,National Spaghetti Day
1/04/2022,World Hypnotism Day
1/05/2022,National Bird Day
1/05/2022,National Keto Day
1/06/2022,Epiphany
1/06/2022,National Cuddle Up Day
1/07/2022,Orthodox Christmas
1/08/2022,Battle of New Orleans
1/08/2022,National Bubble Bath Day
1/08/2022,World Typing Day
1/09/2022,Law Enforcement Appreciation Day
1/10/2022,National Houseplant Appreciation Day
1/11/2022,National Human Trafficking Awareness Day
1/11/2022,National Milk Day
1/11/2022,National Clean Off Your Desk Day
1/12/2022,National Pharmacist Day
1/12/2022,National Marzipan Day
1/13/2022,Korean American Day
1/13/2022,National Gluten-Free Day
1/13/2022,Stephen Foster Memorial Day
1/14/2022,National Dress Up Your Pet Day
1/14/2022,World Logic Day
1/15/2022,National Hat Day
1/15/2022,National Bagel Day
1/15/2022,World Religion Day
1/15/2022,National Strawberry Ice Cream Day
1/15/2022,Martin Luther King’s Birthday
1/16/2022,Tu Bishvat
1/16/2022,National Nothing Day
1/17/2022,Martin Luther King Day
1/17/2022,Civil Rights Day
1/17/2022,Idaho Human Rights Day
1/17/2022,Prohibition Begins
1/18/2022,National Thesaurus Day
1/19/2022,Confederate Heroes' Day
1/19/2022,National Popcorn Day
1/19/2022,Museum Selfie Day
1/19/2022,Robert E. Lee's Birthday
1/20/2022,National DJ Day
1/20/2022,National Cheese Lovers Day
1/21/2022,National Hugging Day
1/21/2022,National Squirrel Appreciation Day
1/22/2022,Roe V. Wade
1/22/2022,Celebration of Life Day
1/23/2022,National Pie Day
1/24/2022,Gold Rush
1/24/2022,National Compliment Day
1/24/2022,International Day of Education
1/25/2022,Opposite Day
1/26/2022,National Spouses Day
1/26/2022,National Green Juice Day
1/26/2022,International Customs Day
1/27/2022,International Holocaust Remembrance Day
1/27/2022,National Chocolate Cake Day
1/28/2022,National Daisy Day
1/28/2022,National Lego Day
1/28/2022,National Fun at Work Day
1/29/2022,Kansas Day
1/29/2022,National Puzzle Day
1/30/2022,National Croissant Day
1/31/2022,National Bubble Wrap Appreciation Day
1/31/2022,National Backward Day
2/01/2022,Black History Month
2/01/2022,Chinese New Year
2/01/2022,National Freedom Day
2/01/2022,National Get Up Day
2/01/2022,World Interfaith Harmony Week
2/02/2022,Groundhog Day
2/02/2022,Treaty of Guadalupe Hidalgo
2/02/2022,Candlemas Day
2/02/2022,National Signing Day
2/02/2022,National Hedgehog Day
2/02/2022,National Tater Tot Day
2/03/2022,National Golden Retriever Day
2/03/2022,National Women Physicians Day
2/03/2022,National Carrot Cake Day
2/03/2022,Feed the Birds Day
2/04/2022,World Cancer Day
2/04/2022,International Day of Human Fraternity
2/04/2022,Rosa Parks Day
2/04/2022,National Wear Red Day
2/04/2022,Give Kids A Smile Day
2/04/2022,Thank Your Mailman Day
2/05/2022,National Weatherperson's Day
2/06/2022,Super Bowl Sunday
2/06/2022,National Frozen Yogurt Day
2/07/2022,National Send a Card to a Friend Day
2/07/2022,e-Day
2/08/2022,National Boy Scout Day
2/08/2022,National Kite-Flying Day
2/09/2022,National Toothache Day
2/09/2022,National Pizza Day
2/11/2022,Safer Internet Day
2/11/2022,National Inventors' Day
2/11/2022,International Day of Women and Girls in Science
2/11/2022,Thomas Edison's Birthday
2/12/2022,Lincoln's Birthday
2/12/2022,Darwin Day
2/13/2022,Galentine's Day
2/13/2022,World Radio Day
2/14/2022,Valentine's Day
2/14/2022,Arizona Statehood Day
2/14/2022,National Donor Day
2/14/2022,International Book Giving Day
2/15/2022,Singles Awareness Day
2/15/2022,Susan B. Anthony's Birthday
2/15/2022,International Childhood Cancer Day
2/16/2022,National Almond Day
2/17/2022,Random Acts of Kindness Day
2/17/2022,World Anthropology Day
2/18/2022,Pluto Day
2/19/2022,International Tug of War Day
2/20/2022,National Love Your Pet Day
2/20/2022,World Day of Social Justice
2/21/2022,Presidents' Day
2/21/2022,Daisy Gatson Bates Day
2/21/2022,International Mother Language Day
2/21/2022,National Sticky Bun Day
2/22/2022,National Walking the Dog Day
2/22/2022,National Margarita Day
2/22/2022,World Thinking Day
2/22/2022,World Spay Day
2/22/2022,George Washington's Birthday
2/23/2022,Battle of the Alamo
2/23/2022,National Banana Bread Day
2/24/2022,National Chili Day
2/24/2022,National Peanut Butter Day
2/25/2022,National Pancake Day
2/26/2022,National Pistachio Day
2/27/2022,National Pokemon Day
2/27/2022,World Non-governmental Organization Day
2/28/2022,Rare Disease Day
3/01/2022,Bachelor's Day
3/01/2022,Vermont Town Meeting Day
3/01/2022,Mardi Gras
3/01/2022,Saint David's Day
3/01/2022,Maha Shivaratri
3/01/2022,Isra and Mi'raj
3/01/2022,Women's History Month
3/01/2022,National Peanut Butter Lover's Day
3/01/2022,Self-Injury Awareness Day
3/01/2022,Zero Discrimination Day
3/01/2022,World Music Therapy Day
3/01/2022,Shrove Tuesday
3/02/2022,Ash Wednesday
3/02/2022,Texas Independence Day
3/02/2022,Read Across America
3/02/2022,World Teen Mental Wellness Day
3/03/2022,Missouri Compromise
3/03/2022,National Anthem Day
3/03/2022,World Hearing Day
3/04/2022,Employee Appreciation Day
3/04/2022,National Grammar Day
3/04/2022,World Obesity Day
3/04/2022,National Hug a G.I. Day
3/06/2022,Dred Scott Case
3/06/2022,National Day of Unplugging
3/06/2022,National Dentists Day
3/06/2022,National Dress Day
3/06/2022,National Oreo Cookie Day
3/07/2022,Casimir Pulaski Day
3/07/2022,National Be Heard Day
3/07/2022,World Plant Power Day
3/08/2022,National Proofreading Day
3/08/2022,International Women's Day
3/09/2022,National Meatball Day
3/09/2022,National Get Over It Day
3/10/2022,National Hug Your Dog Day
3/10/2022,National Pack Your Lunch Day
3/10/2022,World Kidney Day
3/10/2022,Harriet Tubman Day
3/10/2022,National Popcorn Lover's Day
3/11/2022,National Promposal Day
3/12/2022,National Girl Scout Day
3/12/2022,National Plant a Flower Day
3/13/2022,Daylight Saving Time Starts
3/13/2022,National K9 Veterans Day
3/13/2022,National Good Samaritan Day
3/14/2022,Pi Day
3/14/2022,National Napping Day
3/14/2022,International Day of Mathematics
3/14/2022,National Potato Chip Day
3/15/2022,World Social Work Day
3/15/2022,World Consumer Rights Day
3/16/2022,Purim
3/16/2022,National Corn Dog Day
3/17/2022,Saint Patrick´s Day
3/17/2022,Evacuation Day
3/18/2022,Awkward Moments Day
3/18/2022,National Biodiesel Day
3/18/2022,World Sleep Day
3/19/2022,Holi
3/19/2022,St. Joseph's Day
3/19/2022,National Let's Laugh Day
3/19/2022,International Read to Me Day
3/20/2022,Spring Equinox (Start of Spring)
3/20/2022,International Day of Happiness
3/20/2022,National Proposal Day
3/20/2022,National Kick Butts Day
3/20/2022,World Oral Health Day
3/20/2022,French Language Day
3/21/2022,World Poetry Day
3/21/2022,World Down Syndrome Day
3/21/2022,International Day of Forests
3/21/2022,National Common Courtesy Day
3/21/2022,National Fragrance Day
3/21/2022,National French Bread Day
3/21/2022,World Puppetry Day
3/21/2022,International Day for the Elimination of Racial Discrimination
3/22/2022,World Water Day
3/22/2022,National Goof Off Day
3/23/2022,National Puppy Day
3/23/2022,World Meteorological Day
3/23/2022,National Near Miss Day
3/23/2022,National Tamale Day
3/24/2022,National Cheesesteak Day
3/24/2022,World Tuberculosis Day
3/25/2022,Maryland Day
3/25/2022,National Medal of Honor Day
3/25/2022,International Waffle Day
3/26/2022,Earth Hour
3/26/2022,National Spinach Day
3/26/2022,Purple Day
3/26/2022,Prince Kuhio Day
3/27/2022,National Joe Day
3/27/2022,World Theatre Day
3/28/2022,Respect Your Cat Day
3/29/2022,National Vietnam War Veterans Day
3/29/2022,National Smoke and Mirrors Day
3/29/2022,National Mom and Pop Business Owners Day
3/30/2022,National Doctors' Day
3/30/2022,National I am in Control Day
3/31/2022,César Chávez Day
3/31/2022,Opening Day
3/31/2022,World Backup Day
3/31/2022,National Crayon Day
4/01/2022,First Day of Ramadan
4/01/2022,April Fool's Day
4/02/2022,Autism Awareness Day
4/02/2022,International Children's Book Day
4/02/2022,National Peanut Butter and Jelly Day
4/02/2022,National Reconciliation Day
4/02/2022,National Handmade Day
4/02/2022,National Love Our Children Day
4/02/2022,International Pillow Fight Day
4/03/2022,World Party Day
4/03/2022,National Find a Rainbow Day
4/04/2022,National School Librarian Day
4/05/2022,National Librarian Day
4/05/2022,Gold Star Spouses Day
4/06/2022,International Day of Sport for Development and Peace
4/06/2022,National Tartan Day
4/06/2022,National Walking Day
4/06/2022,National Student-Athlete Day
4/07/2022,National Beer Day
4/07/2022,National Burrito Day
4/07/2022,World Health Day
4/07/2022,National No Housework Day
4/08/2022,Day of Silence
4/09/2022,National Former Prisoner of War Recognition Day
4/09/2022,National Name Yourself Day
4/10/2022,World Homeopathy Day
4/10/2022,National Siblings Day
4/10/2022,Palm Sunday
4/11/2022,National Pet Day
4/11/2022,National Submarine Day
4/12/2022,American Civil War
4/12/2022,National Library Workers' Day
4/12/2022,National Grilled Cheese Sandwich Day
4/13/2022,Thomas Jefferson's Birthday
4/13/2022,National Scrabble Day
4/13/2022,National Make Lunch Count Day
4/14/2022,International Moment of Laughter Day
4/14/2022,Holy Thursday
4/14/2022,RAINN Day
4/14/2022,National Ex-Spouse Day
4/14/2022,National Gardening Day
4/14/2022,National Alcohol Screening Day
4/14/2022,National Pan American Day
4/14/2022,Maundy Thursday
4/15/2022,Good Friday
4/15/2022,Passover
4/15/2022,Tax Day
4/15/2022,Assassination of Abraham Lincoln
4/15/2022,Father Damien Day
4/15/2022,National Laundry Day
4/15/2022,World Art Day
4/15/2022,Ta'anit Bechorot (Fast of the First Born)
4/16/2022,Emancipation Day
4/16/2022,Husband Appreciation Day
4/16/2022,Selena Day
4/16/2022,World Voice Day
4/16/2022,Holy Saturday
4/17/2022,Easter Sunday
4/17/2022,World Hemophilia Day
4/18/2022,Patriots' Day
4/18/2022,International Day for Monuments and Sites
4/18/2022,National Haiku Poetry Day
4/18/2022,National Lineman Appreciation Day
4/18/2022,National Columnists’ Day
4/18/2022,International Amateur Radio Day
4/20/2022,National Look Alike Day
4/20/2022,Administrative Professionals Day
4/20/2022,Chinese Language Day
4/21/2022,San Jacinto Day
4/21/2022,National High Five Day
4/21/2022,Spanish American War
4/21/2022,International Creativity and Innovation Day
4/21/2022,National Kindergarten Day
4/22/2022,Earth Day
4/22/2022,Oklahoma Day
4/22/2022,International Mother Earth Day
4/22/2022,Orthodox Good Friday
4/23/2022,National Picnic Day
4/23/2022,National Take a Chance Day
4/23/2022,Lover's Day
4/23/2022,Last Day of Passover
4/23/2022,World Book Day
4/23/2022,National Talk Like Shakespeare Day
4/23/2022,English Language Day
4/23/2022,Spanish Language Day
4/23/2022,Mimouna
4/24/2022,Orthodox Easter
4/24/2022,World Immunization Week
4/25/2022,National DNA Day
4/25/2022,World Penguin Day
4/25/2022,National Telephone Day
4/25/2022,World Malaria Day
4/26/2022,Pretzel Day
4/26/2022,World Intellectual Property Day
4/26/2022,International Chernobyl Disaster Remembrance Day
4/27/2022,Yom HaShoah
4/27/2022,Confederate Memorial Day
4/27/2022,International Guide Dog Day
4/28/2022,Take our Daughters and Sons to Work Day
4/28/2022,National Superhero Day
4/28/2022,National Great Poetry Reading Day
4/28/2022,Workers’ Memorial Day
4/28/2022,World Day for Safety and Health at Work
4/29/2022,Arbor Day
4/29/2022,International Dance Day
4/30/2022,International Jazz Day
4/30/2022,Honesty Day
4/30/2022,National Rebuilding Day
4/30/2022,International Sculpture Day
4/30/2022,Last Day of Ramadan
5/01/2022,May Day
5/01/2022,Loyalty Day
5/01/2022,Law Day
5/01/2022,No Pants Day
5/01/2022,Lei Day
5/01/2022,National Lemonade Day
5/01/2022,School Principals’ Day
5/01/2022,Global Love Day
5/01/2022,World Laughter Day
5/02/2022,Kentucky Derby
5/02/2022,Eid al-Fitr
5/02/2022,Astronomy Day
5/02/2022,International Harry Potter Day
5/02/2022,World Tuna Day
5/03/2022,Teacher’s Day
5/03/2022,World Press Freedom Day
5/03/2022,National Paranormal Day
5/03/2022,National Foster Care Day
5/04/2022,Rhode Island Independence Day
5/04/2022,Star Wars Day
5/04/2022,Kent State Shootings
5/04/2022,Haymarket Riot
5/05/2022,World Password Day
5/05/2022,Cinco de Mayo
5/05/2022,National Day of Prayer
5/05/2022,Yom Ha'atzmaut
5/05/2022,International Midwives Day
5/05/2022,African World Heritage Day
5/05/2022,International Day of the Midwife
5/05/2022,World Portuguese Language Day
5/06/2022,National Nurses Day
5/06/2022,Military Spouse Appreciation Day
5/06/2022,National Space Day
5/06/2022,International No Diet Day
5/06/2022,National Tourist Appreciation Day
5/06/2022,National Provider Day
5/07/2022,National Explosive Ordnance Disposal (EOD) Day
5/07/2022,Join Hands Day
5/08/2022,Mother's Day
5/08/2022,Victory in Europe Day
5/08/2022,Truman Day
5/08/2022,World Red Cross Day
5/08/2022,National Have a Coke Day
5/08/2022,National Student Nurse Day
5/08/2022,International Thalassaemia Day
5/08/2022,Buddha Day
5/09/2022,National Third Shift Workers Day
5/10/2022,World Lupus Day
5/10/2022,National Clean Your Room Day
5/11/2022,Pullman Strike
5/11/2022,National Receptionists Day
5/11/2022,National Eat What You Want Day
5/12/2022,National Limerick Day
5/12/2022,International Nurses Day
5/13/2022,National Apple Pie Day
5/14/2022,Jamestown Colony Founded
5/14/2022,Fair Trade Day
5/14/2022,Pesach Sheni (Second Passover)
5/15/2022,Peace Officers Memorial Day
5/15/2022,International Day of Families
5/15/2022,National Pizza Party Day
5/15/2022,World Baking Day
5/16/2022,International Day of Light
5/17/2022,World Hypertension Day
5/18/2022,International Museum Day
5/18/2022,Lag BaOmer
5/18/2022,National No Dirty Dishes Day
5/20/2022,Malcolm X Day
5/20/2022,Homestead Act
5/20/2022,National Rescue Dog Day
5/20/2022,National Endangered Species Day
5/20/2022,National Be a Millionaire Day
5/20/2022,World Bee Day
5/20/2022,National Defense Transportation Day
5/20/2022,Bike-to-Work Day
5/21/2022,International Tea Day
5/21/2022,Armed Forces Day
5/21/2022,Preakness Stakes
5/21/2022,World Day for Cultural Diversity
5/21/2022,National Waitstaff Day
5/21/2022,National Talk Like Yoda Day
5/21/2022,National Learn to Swim Day
5/21/2022,National Memo Day
5/22/2022,Harvey Milk Day
5/22/2022,International Day for Biological Diversity
5/22/2022,National Maritime Day
5/22/2022,World Goth Day
5/23/2022,World Turtle Day
5/24/2022,National Brother's Day
5/24/2022,National Scavenger Hunt Day
5/24/2022,World Schizophrenia Day
5/25/2022,National Wine Day
5/25/2022,National Missing Children’s Day
5/26/2022,Ascension Day
5/26/2022,National Paper Airplane Day
5/27/2022,National Sunscreen Day
5/28/2022,National Burger Day
5/28/2022,National Brisket Day
5/28/2022,World Blood Cancer Day
5/29/2022,Learn About Composting Day
5/29/2022,International Day of United Nations Peacekeepers
5/30/2022,Memorial Day
5/30/2022,National Creativity Day
5/30/2022,World Multiple Sclerosis Day
5/31/2022,World No Tobacco Day
5/31/2022,National Smile Day
6/01/2022,National Pen Pal Day
6/01/2022,Global Running Day
6/01/2022,Global Day of Parents
6/01/2022,World Reef Awareness Day
6/01/2022,National Say Something Nice Day
6/03/2022,World Bicycle Day
6/03/2022,National Egg Day
6/04/2022,Belmont Stakes
6/04/2022,Shavuot
6/04/2022,National Cheese Day
6/04/2022,National Hug Your Cat Day
6/05/2022,Pentecost
6/05/2022,National Donut Day
6/05/2022,World Environment Day
6/05/2022,National Cancer Survivor’s Day
6/05/2022,National Gingerbread Day
6/06/2022,Jefferson Davis' Birthday
6/06/2022,National Higher Education Day
6/06/2022,D-Day
6/06/2022,Whit Monday
6/08/2022,National Best Friends Day
6/08/2022,World Oceans Day
6/09/2022,National Donald Duck Day
6/10/2022,National Iced Tea Day
6/11/2022,Kamehameha Day
6/11/2022,Global Wellness Day
6/12/2022,Trinity Sunday
6/12/2022,Odunde Festival
6/12/2022,National Loving Day
6/12/2022,National Children’s Day
6/12/2022,World Day Against Child Labor
6/13/2022,National Sewing Machine Day
6/13/2022,International Albinism Awareness Day
6/13/2022,World Softball Day
6/14/2022,Flag Day
6/14/2022,Army Birthday
6/14/2022,Bourbon Day
6/14/2022,World Blood Donor Day
6/14/2022,National Call Your Doctor Day
6/15/2022,World Elder Abuse Awareness Day
6/15/2022,Nature Photography Day
6/16/2022,Bloomsday
6/16/2022,Corpus Christi
6/16/2022,International Day of the African Child
6/16/2022,National Fudge Day
6/17/2022,Bunker Hill Day
6/17/2022,World Day to Combat Desertification and Drought
6/18/2022,International Sushi Day
6/18/2022,International Picnic Day
6/19/2022,Father's Day
6/19/2022,Juneteenth
6/20/2022,West Virginia Day
6/20/2022,American Eagle Day
6/20/2022,World Refugee Day
6/20/2022,International Surfing Day
6/21/2022,Summer Solstice
6/21/2022,International Yoga Day
6/21/2022,National Selfie Day
6/21/2022,National Daylight Appreciation Day
6/22/2022,National Take Your Cat to Work Day
6/22/2022,World Rainforest Day
6/23/2022,National Pink Day
6/23/2022,National Hydration Day
6/23/2022,International Women in Engineering Day
6/24/2022,Take Your Dog to Work Day
6/25/2022,Battle of the Little Bighorn
6/25/2022,Korean War
6/25/2022,Bourdain Day
6/25/2022,Global Beatles Day
6/27/2022,Helen Keller Day
6/27/2022,National Bingo Day
6/27/2022,National PTSD Awareness Day
6/27/2022,National Sunglasses Day
6/27/2022,National HIV Testing Day
6/27/2022,"Micro-, Small and Medium-Sized Enterprises Day"
6/28/2022,National Insurance Awareness Day
6/29/2022,National Camera Day
6/29/2022,Hug Holiday
6/30/2022,World Social Media Day
6/30/2022,National Work From Home Day
6/30/2022,International Asteroid Day
6/30/2022,National Handshake Day
7/01/2022,International Joke Day
7/01/2022,Battle of Gettysburg
7/01/2022,National Postal Worker Day
7/02/2022,Civil Rights Act
7/02/2022,World UFO Day
7/02/2022,International Day of Cooperatives
7/03/2022,National Stay Out of the Sun Day
7/03/2022,International Plastic Bag Free Day
7/04/2022,Independence Day
7/04/2022,Truman Doctrine
7/05/2022,National Bikini Day
7/05/2022,National Workaholics Day
7/06/2022,International Kissing Day
7/06/2022,National Fried Chicken Day
7/07/2022,Global Forgiveness Day
7/07/2022,World Chocolate Day
7/08/2022,National Video Game Day
7/09/2022,Eid al-Adha
7/10/2022,National Kitten Day
7/11/2022,World Population Day
7/11/2022,International Town Criers Day
7/12/2022,National Simplicity Day
7/12/2022,Cow Appreciation Day
7/12/2022,Malala Day
7/12/2022,Orangemen's Day (The Twelfth)
7/13/2022,Nathan Bedford Forrest Day
7/13/2022,National French Fry Day
7/14/2022,National Mac and Cheese Day
7/14/2022,Pandemonium Day
7/15/2022,National Give Something Away Day
7/15/2022,National Clean Beauty Day
7/16/2022,National Cherry Day
7/17/2022,World Emoji Day
7/17/2022,National Ice Cream Day
7/17/2022,National Lottery Day
7/18/2022,Nelson Mandela International Day
7/18/2022,World Listening Day
7/19/2022,Seneca Falls Convention
7/20/2022,National Moon Day
7/20/2022,International Chess Day
7/20/2022,World Jump Day
